0,0,NaN,0,0,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,9,111,19,NaN,NaN,NaN,6
NaN,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,1,3,NaN,242,98,37,46,NaN,NaN
0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,6,34,43,NaN,NaN,NaN,NaN,211,222,235,246
0,0,0,0,0,0,0,0,0,0,NaN,0,2,0,0,0,3,NaN,210,226,247,255,255,255,255,255,NaN,255
0,NaN,0,0,0,NaN,0,0,1,10,31,27,48,25,1,0,NaN,219,255,255,255,255,255,255,255,NaN,255,247
0,NaN,NaN,0,0,0,0,3,30,123,NaN,185,211,NaN,NaN,NaN,14,236,255,255,255,255,252,231,161,163,182,114
0,0,0,0,0,NaN,2,64,194,253,255,NaN,NaN,252,43,0,6,172,247,NaN,255,228,211,147,13,14,19,7
0,0,NaN,0,NaN,0,41,NaN,255,255,252,244,NaN,254,53,3,NaN,32,98,222,255,150,233,89,NaN,0,NaN,0
2,17,62,6,0,5,NaN,NaN,255,234,173,215,255,241,85,48,NaN,1,NaN,237,238,113,246,35,0,NaN,0,NaN
NaN,156,220,23,NaN,44,246,255,252,186,NaN,254,255,236,NaN,167,5,0,103,255,160,NaN,NaN,6,NaN,0,0,NaN
216,255,242,NaN,79,NaN,NaN,255,NaN,NaN,NaN,255,255,255,255,191,5,8,197,NaN,93,NaN,117,0,NaN,0,0,0
NaN,NaN,NaN,NaN,240,252,255,255,255,255,255,255,255,NaN,249,116,2,49,NaN,209,124,NaN,NaN,0,0,0,NaN,0
255,255,255,255,255,255,255,255,255,255,255,NaN,255,228,136,NaN,1,132,255,NaN,217,NaN,5,0,0,0,0,0
245,255,255,254,242,234,255,255,NaN,255,255,254,208,NaN,NaN,1,6,204,NaN,176,244,66,NaN,0,0,0,0,0
112,176,172,146,NaN,85,249,255,255,255,244,169,59,11,0,NaN,NaN,247,215,NaN,169,NaN,0,NaN,0,0,NaN,0
8,19,18,12,3,9,147,NaN,NaN,188,NaN,23,NaN,0,0,0,113,255,239,249,66,0,0,0,0,0,0,0
0,0,0,0,0,0,17,171,237,37,4,0,0,0,0,6,192,255,251,NaN,10,0,0,0,0,0,0,0
NaN,0,0,0,0,0,0,NaN,200,NaN,0,0,0,1,5,58,245,255,178,31,0,0,0,0,0,NaN,0,0
0,0,0,NaN,0,NaN,0,NaN,222,16,1,4,13,NaN,80,205,255,NaN,52,1,0,0,0,0,0,0,0,0
0,NaN,0,0,0,0,0,128,254,121,47,62,139,NaN,238,255,248,84,4,NaN,0,0,0,0,NaN,0,0,0
0,0,0,0,0,0,0,75,255,NaN,202,190,NaN,NaN,252,255,NaN,9,0,NaN,NaN,0,0,NaN,0,0,NaN,NaN
0,0,NaN,0,0,0,0,20,221,NaN,NaN,228,239,185,NaN,NaN,NaN,NaN,0,0,0,0,NaN,0,0,0,0,0
0,0,NaN,0,0,NaN,NaN,NaN,78,189,159,91,72,29,82,249,43,0,0,NaN,0,NaN,NaN,0,0,0,0,NaN
0,NaN,0,0,0,0,0,0,5,28,NaN,9,4,1,NaN,215,NaN,0,0,0,NaN,0,0,0,0,0,NaN,0
0,NaN,0,0,0,0,0,0,NaN,0,0,NaN,NaN,1,176,153,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,5,210,75,0,0,0,0,0,0,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,0,0,0,NaN,0,0,0,0,10,NaN,22,0,0,0,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
0,0,NaN,NaN,NaN,0,0,0,NaN,0,0,0,0,12,129,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,0,0
